p,divisor,searchedMersenne,detailedCheck,passedAllTests
138691387,66005172752719,True,True,False
138263197,70514230471,True,True,False
138336113,830016679,True,True,False
138249401,23225899369,True,True,False
138339493,26284503671,True,True,False
138348773,1936882823,True,True,False
138302347,3319256329,True,True,False
138352691,276705383,True,True,False
138244439,126355417247,True,True,False
138311377,9681796391,True,True,False
138248069,303869255663,True,True,False
138355319,1106842553,True,True,False
138612403,43247069737,True,True,False
138326063,276652127,True,True,False
138399769,45395124233,True,True,False
138373777,830242663,True,True,False
138447461,4153423831,True,True,False
138453811,11353212503,True,True,False
138350713,50636360959,True,True,False
138475879,65637566647,True,True,False
138006091,2208097457,True,True,False
138476573,3323437753,True,True,False
138484883,276969767,True,True,False
138498037,36563481769,True,True,False
138509773,831058639,True,True,False
138524173,2216386769,True,True,False
138529453,13021768583,True,True,False
138533569,6649611313,True,True,False
138536837,1939515719,True,True,False
138011999,276023999,True,True,False
138542353,167082077719,True,True,False
138013979,276027959,True,True,False
138544589,4156337671,True,True,False
138555283,68723420369,True,True,False
138571747,141066038447,True,True,False
138576419,4434445409,True,True,False
138253553,74103904409,True,True,False
138253891,29862840457,True,True,False
138243569,697853536313,True,True,False
138613091,96474711337,True,True,False
138026711,1104213689,True,True,False
138016943,4416542177,True,True,False
138039263,276078527,True,True,False
138047951,276095903,True,True,False
138057943,2208927089,True,True,False
138066083,276132167,True,True,False
138066757,75108315809,True,True,False
138067399,9940852729,True,True,False
138082471,2485484479,True,True,False
138256813,829540879,True,True,False
138121099,9944719129,True,True,False
138128863,26520741697,True,True,False
138129427,2210070833,True,True,False
138142553,828855319,True,True,False
138159521,1105276169,True,True,False
138185533,829113199,True,True,False
138221807,26815030559,True,True,False
138260141,1106081129,True,True,False
138260821,149045165039,True,True,False
138267109,3041876399,True,True,False
138253403,276506807,True,True,False
138268283,3318438793,True,True,False
138271717,35397559553,True,True,False
138268903,108402819953,True,True,False
138262961,1106103689,True,True,False
138269597,11061567761,True,True,False
138272503,44523745967,True,True,False
138238957,38706907961,True,True,False
138275279,276550559,True,True,False
138271019,276542039,True,True,False
138273419,276546839,True,True,False
138265271,276530543,True,True,False
138274463,276548927,True,True,False
138611867,1108894937,True,True,False
138261301,170061400231,True,True,False
138612553,831675319,True,True,False
138271871,36780317687,True,True,False
138274013,18528717743,True,True,False
138276251,13274520097,True,True,False
138211001,23219448169,True,True,False
138264601,93743399479,True,True,False
138261623,419209240937,True,True,False
138275611,549783829337,True,True,False
138277369,692493063953,True,True,False
138268937,100383248263,True,True,False
138247463,276494927,True,True,False
138271249,3041967479,True,True,False
138278353,3318680473,True,True,False
138278587,2212457393,True,True,False
138273253,780690786439,True,True,False
138238811,2488298599,True,True,False
138611701,3049457423,True,True,False
138277759,2488999663,True,True,False
138277831,46461351217,True,True,False
138280133,829680799,True,True,False
138278057,182527035241,True,True,False
138265319,13550001263,True,True,False
138281137,2212498193,True,True,False
138281201,4424998433,True,True,False
138281207,3318748969,True,True,False
138281263,3318750313,True,True,False
138278417,73840674679,True,True,False
138278671,46461633457,True,True,False
138281713,90436240303,True,True,False
138281477,412631927369,True,True,False
138281977,5531279081,True,True,False
138279707,2489034727,True,True,False
138279983,276559967,True,True,False
138280333,829681999,True,True,False
138281287,68864080927,True,True,False
138280501,370591742681,True,True,False
138276473,11891776679,True,True,False
138282853,4148485591,True,True,False
138282719,276565439,True,True,False
138261863,3318284713,True,True,False
138282973,1400253384599,True,True,False
138284351,276568703,True,True,False
138271831,9125940847,True,True,False
138240383,13271076769,True,True,False
138283907,9126737863,True,True,False
138277943,3318670633,True,True,False
138285083,276570167,True,True,False
138261509,2267212224583,True,True,False
138278893,829673359,True,True,False
138286201,16594344121,True,True,False
138281999,276563999,True,True,False
138283451,52271144479,True,True,False
138281921,5254712999,True,True,False
138286067,19083477247,True,True,False
138286111,2212577777,True,True,False
138286033,4148580991,True,True,False
138287749,646910089823,True,True,False
138287351,4425195233,True,True,False
138286933,42868949231,True,True,False
138285727,2212571633,True,True,False
138286651,758917140689,True,True,False
138289447,417357551047,True,True,False
138288349,181434313889,True,True,False
138289967,457186630903,True,True,False
138289631,6637902289,True,True,False
138290051,276580103,True,True,False
138290219,1106321753,True,True,False
138144131,276288263,True,True,False
138291841,222373280329,True,True,False
138285929,1106287433,True,True,False
138288599,2489194783,True,True,False
138293339,276586679,True,True,False
138288571,2212617137,True,True,False
138144107,3591746783,True,True,False
138291521,71635007879,True,True,False
138295631,87402838793,True,True,False
138287579,1661940124423,True,True,False
138295879,24616666463,True,True,False
138296803,48680474657,True,True,False
138296593,16595591161,True,True,False
138297613,4148928391,True,True,False
138298313,829789879,True,True,False
138144157,38680363961,True,True,False
138293569,10786898383,True,True,False
138298343,276596687,True,True,False
138291613,40657734223,True,True,False
138298691,3595765967,True,True,False
138298871,276597743,True,True,False
138297683,276595367,True,True,False
138299677,108426946769,True,True,False
138297977,173702259113,True,True,False
138297343,2212757489,True,True,False
138300713,829804279,True,True,False
138297557,829785343,True,True,False
138212717,15203398871,True,True,False
138302033,7744913849,True,True,False
138302113,22128338081,True,True,False
138302771,276605543,True,True,False
138302161,20745324151,True,True,False
138303079,138579685159,True,True,False
138302641,26277501791,True,True,False
138610357,59602453511,True,True,False
138303773,829822639,True,True,False
138238213,2211811409,True,True,False
138304913,16596589561,True,True,False
138610999,85661597383,True,True,False
138294713,843044570449,True,True,False
138300893,916934920591,True,True,False
138304633,2212874129,True,True,False
138304399,15766701487,True,True,False
138305627,13553951447,True,True,False
138294287,1106354297,True,True,False
138291427,18807634073,True,True,False
138295207,151571546873,True,True,False
138306131,276612263,True,True,False
138307139,276614279,True,True,False
138307079,276614159,True,True,False
138297631,27936121463,True,True,False
138294509,5255191343,True,True,False
138297569,110361460063,True,True,False
138308237,1936315319,True,True,False
138301937,11064154961,True,True,False
138308473,5532338921,True,True,False
138301769,21851679503,True,True,False
138300973,829805839,True,True,False
138301379,276602759,True,True,False
138303787,1413188095567,True,True,False
138309131,30151390559,True,True,False
138303359,26554244929,True,True,False
138310163,276620327,True,True,False
138213001,3040686023,True,True,False
138310703,276621407,True,True,False
138311357,7468813279,True,True,False
138311483,126416695463,True,True,False
138609923,277219847,True,True,False
138313129,26279494511,True,True,False
138313463,276626927,True,True,False
138313429,3042895439,True,True,False
138306919,563462388007,True,True,False
138314041,49516426679,True,True,False
138314987,79946062487,True,True,False
138315439,8852188097,True,True,False
138315137,511212746353,True,True,False
138612121,4158363631,True,True,False
138315887,7745689673,True,True,False
138226901,16587228121,True,True,False
138316771,179258535217,True,True,False
138317483,14385018233,True,True,False
138317717,180366302969,True,True,False
138318289,26557111489,True,True,False
138318253,478027882369,True,True,False
138318629,21854343383,True,True,False
138318679,15768329407,True,True,False
138318949,5532757961,True,True,False
138319087,12172079657,True,True,False
138319367,17704878977,True,True,False
138320033,829920199,True,True,False
138320129,39836197153,True,True,False
138320641,135830869463,True,True,False
138319859,276639719,True,True,False
138322153,4149664591,True,True,False
138322367,9129276223,True,True,False
138323741,70821755393,True,True,False
138323957,90740515793,True,True,False
138324233,829945399,True,True,False
138614611,225387357487,True,True,False
138324533,1936543463,True,True,False
138324581,54223235753,True,True,False
138614657,66535035361,True,True,False
138325471,14662499927,True,True,False
138326417,67226638663,True,True,False
138327863,65567407063,True,True,False
138326651,276653303,True,True,False
138328361,1106626889,True,True,False
138328123,9129656119,True,True,False
138213589,81822444689,True,True,False
138329111,276658223,True,True,False
138328247,1106625977,True,True,False
138326411,276652823,True,True,False
138325997,829955983,True,True,False
138219899,276439799,True,True,False
138330263,3596586839,True,True,False
138326323,2213221169,True,True,False
138331433,7746560249,True,True,False
138330911,276661823,True,True,False
138238481,1105907849,True,True,False
138332023,72209316007,True,True,False
138331691,276663383,True,True,False
138332653,829995919,True,True,False
138328871,42328634527,True,True,False
138329771,276659543,True,True,False
138333473,4150004191,True,True,False
138335111,9960127993,True,True,False
138334303,126160884337,True,True,False
138333073,829998439,True,True,False
138328429,63907734199,True,True,False
138335797,4150073911,True,True,False
138333617,830001703,True,True,False
